Aggregated 3-candle swing-failure stats by Previous Day's Distribution (NY time):
Total patterns found: 1730
     Prev Day    Hours  Bear Nr. Hit%_Mid Hit%_1st Hit%_Opn Avg_SL Avg_RE Hit_T% Hit_SL%  | Bull Nr. Hit%_Mid_bull Hit%_1st_bull Hit%_Opn_bull Avg_SL_bull Avg_RE_bull Hit_T%_bull Hit_SL%_bull
  Slightly Up 01,02,03        13    76.92     7.69    15.38  16.60  35.62  53.85   53.85          10         50.00          0.00          0.00       17.57       45.95       70.00        50.00
  Slightly Up 02,03,04        14    50.00     0.00     0.00   7.02  52.20  64.29   85.71          12         58.33          8.33          8.33       10.08       25.44       58.33        91.67
  Slightly Up 03,04,05        18    83.33    16.67    22.22  16.86  51.32  72.22   77.78           9        100.00         33.33         33.33       23.00       43.69       66.67        66.67
  Slightly Up 04,05,06         6   100.00    16.67    16.67  14.62  44.33  66.67  100.00           6        100.00         16.67         33.33        7.92       28.00       66.67        83.33
  Slightly Up 05,06,07         8    75.00    12.50    25.00  13.88  37.38  75.00   75.00           5         60.00          0.00         40.00       30.75       48.85       40.00        80.00
  Slightly Up 06,07,08         8    75.00    12.50    25.00  19.50  81.75  50.00   50.00          10         70.00         30.00         40.00       18.95       55.50       70.00        90.00
  Slightly Up 07,08,09         9    44.44    11.11    11.11  15.11  82.81  77.78  100.00           6         83.33         16.67         16.67       31.58       62.54       66.67        83.33
  Slightly Up 08,09,10        13    61.54     7.69    15.38  16.85 116.65  84.62   76.92           9         88.89          0.00         33.33       31.86      111.83       55.56        55.56
  Slightly Up 09,10,11        13    84.62     0.00     7.69  24.33 125.92  76.92   84.62           6        100.00         16.67         16.67       39.79       70.46      100.00        66.67
  Slightly Up 10,11,12         8    75.00    25.00    37.50  26.62 143.78 100.00   87.50           7         57.14          0.00         14.29       18.75      101.18       71.43        85.71
  Slightly Up 11,12,13         9    77.78    66.67    66.67  38.28 108.94 100.00   55.56           5         80.00         60.00         60.00       50.80       77.95       80.00        60.00
  Slightly Up 12,13,14         3    66.67    33.33    33.33   0.00 112.00  33.33  100.00           2        100.00          0.00          0.00       40.38      168.25      100.00        50.00
  Slightly Up 13,14,15         8    75.00    12.50    25.00  81.31  53.31  37.50   50.00           6        100.00          0.00         16.67       51.62       95.54       83.33        16.67
  Slightly Up 14,15,16        12    66.67     8.33     8.33  48.35  86.94  50.00   66.67          16         68.75          0.00         12.50       66.08       89.94       31.25        50.00
  Slightly Up 15,16,17        13    61.54     7.69    23.08  26.60  59.33  46.15   76.92           8         87.50         25.00         37.50       68.75       43.81       50.00        62.50
  Slightly Up 16,17,18        14    64.29    14.29    14.29  40.88  41.96  35.71   64.29          14         57.14         28.57         28.57       48.88       37.79       42.86        50.00
  Slightly Up 17,18,19         8    87.50    37.50    50.00  41.19  27.44  37.50   50.00          12         58.33         25.00         25.00       32.23       43.44       41.67        41.67
  Slightly Up 18,19,20        10    30.00     0.00     0.00  35.70  28.60  10.00   80.00           8         25.00          0.00          0.00       36.03       12.16        0.00        75.00
  Slightly Up 19,20,21        13    61.54     7.69    15.38  33.69  23.71  23.08   38.46           9         66.67         33.33         33.33       84.06       50.67       77.78        22.22
  Slightly Up 20,21,22         9    44.44     0.00     0.00   8.33  16.81  11.11   88.89           9         66.67         11.11         33.33       34.69       38.94       33.33        55.56
  Slightly Up 21,22,23         3    66.67     0.00     0.00  25.83  34.92   0.00   66.67           1          0.00          0.00          0.00       12.25       50.50      100.00       100.00
  Slightly Up 22,23,00         8    87.50    25.00    37.50  19.03  22.91  50.00   62.50          11         54.55         18.18         18.18        8.91       24.30       45.45        81.82
  Slightly Up 23,00,01         7    57.14    14.29    42.86  15.14  24.86  71.43   42.86          10         80.00         10.00         20.00       14.75       46.15       70.00        50.00
  Strongly Up 00,01,02        13    92.31     0.00     0.00  14.92  29.94  53.85   69.23           7         71.43         28.57         42.86       17.43       38.18       71.43        57.14
  Strongly Up 01,02,03        15    53.33     6.67    13.33  10.82  41.52  66.67   73.33           9         66.67         22.22         22.22       34.33       59.67       55.56        66.67
  Strongly Up 02,03,04        16    68.75     6.25    12.50  10.27  29.75  62.50   81.25          10         30.00          0.00         10.00       11.50       49.12       70.00        80.00
  Strongly Up 03,04,05        12    83.33    25.00    25.00  11.98  33.85  41.67   91.67           8         75.00         37.50         50.00        9.62       31.72       87.50        62.50
  Strongly Up 04,05,06         5    60.00    20.00    20.00  16.30  37.95  40.00   60.00           3        100.00         33.33         33.33       17.92       17.33       33.33        66.67
  Strongly Up 05,06,07         9    66.67    33.33    33.33  17.61  80.44  55.56   66.67           4         75.00         50.00         50.00        6.88       28.62       75.00       100.00
  Strongly Up 06,07,08         5    60.00     0.00    20.00  10.30  87.50  80.00   60.00           4         50.00         25.00         25.00       22.50       46.06       75.00       100.00
  Strongly Up 07,08,09        11    72.73    18.18    18.18  37.66 103.64  72.73   54.55           6         50.00          0.00          0.00       11.17       45.75       66.67       100.00
  Strongly Up 08,09,10        12    75.00     8.33    16.67  17.92 123.75  66.67   91.67          10         60.00         20.00         20.00       31.93      105.22       70.00        90.00
  Strongly Up 09,10,11        14    64.29    14.29    14.29  22.54 197.64  57.14   85.71           9         66.67         11.11         22.22       15.69       92.28       77.78       100.00
  Strongly Up 10,11,12        10    60.00    20.00    20.00  14.65 101.03  80.00   90.00           3         33.33         33.33         33.33       45.42      134.17      100.00       100.00
  Strongly Up 11,12,13         6    83.33    33.33    33.33  32.62 206.92  66.67   66.67           2        100.00        100.00        100.00       70.12       32.25      100.00       100.00
  Strongly Up 12,13,14         9    88.89    33.33    44.44  31.33  86.44  44.44   88.89           2         50.00          0.00          0.00        0.00       86.12        0.00       100.00
  Strongly Up 13,14,15         7    85.71    42.86    57.14 126.61 238.96  85.71   28.57           6         83.33         16.67         66.67      128.71       58.96       83.33        16.67
  Strongly Up 14,15,16        14    57.14     7.14    14.29  44.05  41.30  28.57   92.86           5         80.00         20.00         20.00       92.75       81.15       60.00        40.00
  Strongly Up 15,16,17        24    66.67    12.50    20.83  44.21  68.92  33.33   70.83           6         83.33          0.00          0.00      147.42       70.46       16.67        83.33
  Strongly Up 16,17,18        15    66.67     6.67     6.67  22.17  49.55  40.00   60.00           5         40.00         20.00         20.00       41.95       80.05       40.00        40.00
  Strongly Up 17,18,19        19    78.95     5.26    21.05  35.53  54.11  31.58   63.16           3        100.00         66.67         66.67      109.83       31.58       66.67         0.00
  Strongly Up 18,19,20        11    72.73     9.09     9.09  48.59  25.05  36.36   27.27           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
  Strongly Up 19,20,21        15    53.33     0.00     0.00  16.45  22.90   6.67   73.33           9         77.78          0.00         11.11       23.17       16.39       22.22        66.67
  Strongly Up 20,21,22        10    40.00     0.00     0.00  18.88  27.93  10.00   80.00          14         64.29         14.29         28.57       35.71       32.61       42.86        57.14
  Strongly Up 21,22,23         2   100.00    50.00    50.00  21.00  52.75  50.00   50.00           2          0.00          0.00          0.00        2.12       18.00        0.00       100.00
  Strongly Up 22,23,00         6    66.67    33.33    33.33  38.33  56.54  66.67   50.00           7         57.14         14.29         14.29       15.14       20.79       28.57        42.86
  Strongly Up 23,00,01         4    75.00    25.00    50.00  34.38  13.31  25.00   75.00           6         66.67         33.33         33.33       13.21       14.38       50.00        50.00
