date,tmo
2023-12-06,15979.5
2023-12-07,15813.75
2023-12-08,16026.75
2023-12-11,16052.75
2023-12-12,16469.25
2023-12-13,16605.75
2023-12-14,16875.75
2023-12-15,16777.75
2023-12-18,16852.25
2023-12-19,16928.25
2023-12-20,17040.75
2023-12-21,16838.25
2023-12-22,16913.0
2023-12-26,17021.75
2023-12-27,17082.5
2023-12-28,17141.5
2023-12-29,17093.0
2024-01-02,17008.0
2024-01-03,16695.0
2024-01-04,16549.0
2024-01-05,16442.25
2024-01-08,16448.25
2024-01-09,16781.75
2024-01-10,16827.75
2024-01-11,16997.75
2024-01-12,16945.75
2024-01-15,16991.5
2024-01-16,16894.75
2024-01-17,16921.5
2024-01-18,16848.0
2024-01-19,17169.25
2024-01-22,17552.25
2024-01-23,17474.5
2024-01-24,17594.75
2024-01-25,17609.5
2024-01-26,17491.0
2024-01-29,17531.25
2024-01-30,17712.5
2024-01-31,17449.5
2024-02-01,17317.25
2024-02-02,17606.75
2024-02-05,17684.25
2024-02-06,17739.0
2024-02-07,17659.0
2024-02-08,17851.0
2024-02-09,17864.0
2024-02-12,18019.25
2024-02-13,17929.5
2024-02-14,17683.75
2024-02-15,17875.5
2024-02-16,17938.5
2024-02-19,17779.0
2024-02-20,17681.75
2024-02-21,17555.0
2024-02-22,17798.25
2024-02-23,18049.75
2024-02-26,17949.0
2024-02-27,17954.25
2024-02-28,18001.0
2024-02-29,17926.25
2024-03-01,18119.5
2024-03-04,18349.0
2024-03-05,18208.75
2024-03-06,17981.5
2024-03-07,17973.5
2024-03-08,18284.0
2024-03-11,17993.5
2024-03-12,18299.0
2024-03-13,18456.5
2024-03-14,18371.75
2024-03-15,18244.5
2024-03-18,18125.25
2024-03-19,18180.0
2024-03-20,18245.75
2024-03-21,18592.5
2024-03-22,18553.0
2024-03-25,18576.0
2024-03-26,18523.75
2024-03-27,18496.75
2024-03-28,18493.75
2024-04-01,18584.5
2024-04-02,18479.25
2024-04-03,18310.0
2024-04-04,18453.25
2024-04-05,18109.75
2024-04-08,18285.75
2024-04-09,18303.5
2024-04-10,18379.0
2024-04-11,18199.0
2024-04-12,18488.25
2024-04-15,18231.0
2024-04-16,17847.0
2024-04-17,17929.5
2024-04-18,17730.0
2024-04-19,17338.5
2024-04-22,17239.75
2024-04-23,17332.0
2024-04-24,17732.75
2024-04-25,17460.0
2024-04-26,17769.5
2024-04-29,17901.25
2024-04-30,17910.75
2024-05-01,17526.75
2024-05-02,17549.25
2024-05-03,17762.75
2024-05-06,18006.0
2024-05-07,18188.25
2024-05-08,18194.0
2024-05-09,18159.25
2024-05-10,18217.0
2024-05-13,18278.0
2024-05-14,18266.0
2024-05-15,18423.5
2024-05-16,18732.75
2024-05-17,18650.75
2024-05-20,18669.75
2024-05-21,18751.25
2024-05-22,18810.0
2024-05-23,18962.5
2024-05-24,18711.25
2024-05-27,18850.75
2024-05-28,18927.25
2024-05-29,18886.75
2024-05-30,18686.25
2024-05-31,18562.0
2024-06-03,18641.75
2024-06-04,18654.0
2024-06-05,18757.75
2024-06-06,19099.5
2024-06-07,19082.5
2024-06-10,19043.25
2024-06-11,19091.0
2024-06-12,19266.75
2024-06-13,19636.5
2024-06-14,19640.0
2024-06-17,19961.0
2024-06-18,20183.75
2024-06-19,20220.0
2024-06-20,20290.0
2024-06-21,20053.75
2024-06-24,19963.25
2024-06-25,19794.0
2024-06-26,19990.5
2024-06-27,19912.0
2024-06-28,20131.0
2024-07-01,19995.75
2024-07-02,19982.0
2024-07-03,20235.75
2024-07-04,20404.0
2024-07-05,20414.0
2024-07-08,20597.25
2024-07-09,20734.25
2024-07-10,20709.5
2024-07-11,20883.5
2024-07-12,20420.25
2024-07-15,20575.5
2024-07-16,20647.75
2024-07-17,20535.5
2024-07-18,20051.25
2024-07-19,19956.0
2024-07-22,19778.0
