timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-22 19:20:00,bullish,19.0,18757.75,18764.75,18738.0,18742.5,18743.25,18748.5,18730.75,18743.75,18742.75,18744.25,18732.5,18738.5,False,False,False,18730.75,26.25,False,True,0.0,7.75
2025-04-22 20:50:00,bearish,20.0,18681.5,18703.5,18681.5,18695.75,18696.0,18704.75,18693.25,18701.75,18700.75,18716.5,18687.5,18708.25,True,False,False,18704.75,26.75,False,True,0.0,3.5
2025-04-22 21:35:00,bullish,21.0,18676.75,18677.75,18643.0,18646.75,18647.0,18648.25,18631.75,18646.0,18646.0,18658.0,18636.75,18641.0,True,False,False,18631.75,36.75,False,True,0.0,9.25
2025-04-23 02:20:00,bearish,2.0,18741.25,18763.25,18739.5,18759.5,18759.75,18770.5,18756.0,18759.25,18759.0,18764.5,18750.0,18751.75,True,False,False,18770.5,12.25,True,False,12.25,18.75
2025-04-23 03:50:00,bearish,3.0,18772.0,18783.5,18768.0,18782.5,18782.25,18790.5,18779.0,18782.75,18782.75,18789.0,18775.0,18785.25,True,False,False,18790.5,17.25,False,True,0.0,5.25
2025-04-23 04:35:00,bearish,4.0,18830.0,18852.5,18829.25,18850.0,18850.0,18859.0,18848.0,18850.75,18850.0,18852.75,18839.0,18849.75,True,False,False,18859.0,20.5,False,True,0.0,9.25
2025-04-23 05:55:00,bearish,5.0,18826.25,18851.5,18824.5,18844.75,18845.5,18856.5,18839.0,18851.0,18851.25,18868.5,18851.25,18857.0,False,False,False,18856.5,32.5,False,True,0.0,0.5
2025-04-23 08:35:00,bearish,8.0,18936.5,18947.75,18932.25,18943.0,18943.0,18950.25,18941.5,18946.75,18946.5,18958.25,18941.25,18957.5,True,False,False,18950.25,25.25,False,True,0.0,7.25
2025-04-23 11:25:00,bullish,11.0,18972.0,18978.75,18881.0,18915.25,18915.25,18933.25,18853.25,18918.75,18920.0,18937.25,18881.0,18936.25,True,False,False,18853.25,42.5,False,True,0.0,83.0
2025-04-23 11:45:00,bullish,11.0,18888.5,18907.5,18815.0,18816.0,18816.25,18851.5,18797.25,18848.75,18849.0,18890.0,18847.75,18876.75,True,False,True,18797.25,30.75,False,True,0.0,79.5
2025-04-23 12:25:00,bearish,12.0,18771.25,18842.5,18747.0,18835.75,18836.5,18849.5,18823.75,18838.25,18838.25,18886.75,18837.25,18877.25,False,False,False,18849.5,130.25,False,True,0.0,27.75
2025-04-23 13:50:00,bearish,13.0,18882.75,18932.75,18867.5,18925.25,18926.0,18951.25,18920.75,18925.75,18927.5,18941.25,18879.0,18912.5,True,False,True,18951.25,45.0,False,True,0.0,38.75
2025-04-23 16:05:00,bearish,16.0,18780.25,18811.0,18771.0,18806.75,18808.0,18819.5,18796.25,18798.0,18797.75,18870.5,18796.75,18859.25,False,False,False,18819.5,88.25,False,True,0.0,39.75
