timestamp,type,hour_c0,prev_1d_cat,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2024-12-11 21:00:00,bullish,21.0,Not Analyzed,21791.75,21792.5,21750.25,21755.75,21756.75,21767.0,21747.75,21758.0,21758.0,21761.75,21742.5,21752.0,False,False,False,4.25,12.75,False,True,0.0,4.25
2024-12-13 12:00:00,bearish,12.0,Not Analyzed,21787.75,21836.25,21781.25,21831.5,21831.5,21843.75,21814.0,21821.25,21821.5,21908.0,21775.5,21880.5,True,True,True,0.0,214.0,True,True,0.0,36.75
2024-12-13 15:00:00,bullish,15.0,Not Analyzed,21880.5,21886.5,21686.5,21688.25,21688.25,21757.75,21666.5,21699.25,21699.0,21741.5,21679.5,21684.5,False,False,False,18.0,139.5,False,False,0.0,0.0
2024-12-16 18:00:00,bearish,18.0,Not Analyzed,22086.5,22125.0,22080.25,22117.0,22117.25,22142.5,22104.75,22124.25,22125.0,22152.5,22097.5,22111.5,True,False,False,31.0,16.0,False,True,0.0,31.0
2024-12-16 20:00:00,bullish,20.0,Not Analyzed,22125.0,22152.5,22097.5,22111.5,22111.25,22117.75,22095.5,22111.75,22412.25,22412.5,22376.5,22395.75,True,True,True,300.25,30.0,True,False,270.75,300.25
2024-12-17 12:00:00,bullish,12.0,Not Analyzed,22389.75,22398.5,22348.5,22349.75,22350.0,22366.25,22323.5,22352.75,22352.5,22369.75,22279.5,22307.0,True,False,False,0.0,79.0,False,True,0.0,16.5
2024-12-17 14:00:00,bullish,14.0,Not Analyzed,22352.5,22369.75,22279.5,22307.0,22306.0,22318.25,22244.25,22308.25,22308.25,22386.0,22283.25,22341.75,True,True,True,97.5,16.75,True,False,10.75,97.5
2024-12-18 10:00:00,bearish,10.0,Not Analyzed,22349.75,22375.5,22346.5,22368.5,22368.25,22384.25,22359.5,22370.5,22370.0,22387.75,22362.0,22377.0,False,False,False,7.25,165.75,True,False,27.25,7.25
2024-12-18 13:00:00,bullish,13.0,Not Analyzed,22376.25,22378.75,22285.0,22287.75,22287.75,22304.25,22211.25,22288.5,22288.5,22351.75,22272.75,22319.75,True,False,False,108.5,21.25,False,True,0.0,108.5
2024-12-18 20:00:00,bullish,20.0,Not Analyzed,21915.0,21935.75,21430.0,21496.75,21495.75,21515.5,21311.0,21459.5,21499.75,21546.5,21453.75,21472.0,True,False,False,161.0,77.75,False,False,0.0,0.0
2024-12-19 20:00:00,bullish,20.0,Not Analyzed,21462.5,21531.5,21363.0,21376.75,21376.5,21419.5,21345.75,21408.25,21429.25,21429.25,21363.0,21374.25,True,False,False,28.5,14.25,False,True,0.0,28.5
2024-12-20 00:00:00,bullish,0.0,Not Analyzed,21375.0,21388.5,21265.25,21277.75,21278.0,21301.0,21256.5,21270.5,21270.5,21272.75,21222.0,21253.75,False,False,False,0.0,47.75,False,True,0.0,2.75
2024-12-20 13:00:00,bearish,13.0,Not Analyzed,21098.5,21233.25,21070.5,21217.75,21216.75,21309.0,21160.5,21231.5,21231.5,21551.5,21231.5,21512.75,False,False,False,0.0,9.25,False,True,0.0,203.75
2024-12-20 16:00:00,bearish,16.0,Not Analyzed,21513.75,21785.5,21503.5,21751.0,21751.75,21812.25,21728.0,21761.25,21761.5,21773.0,21655.25,21667.25,True,False,False,145.0,154.75,True,False,153.5,145.0
2024-12-20 20:00:00,bullish,20.0,Not Analyzed,21699.0,21714.25,21517.75,21567.5,21567.75,21629.0,21512.5,21552.5,21566.0,21683.0,21565.75,21656.0,True,False,False,143.5,52.75,True,False,43.0,143.5
2024-12-23 08:00:00,bullish,8.0,Not Analyzed,21712.5,21720.0,21661.5,21675.25,21675.25,21693.0,21654.0,21665.5,21665.5,21679.75,21613.0,21624.75,False,False,False,0.0,50.75,False,True,0.0,29.25
