time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1620662400,13518.5,13543.25,13495,13498,13518,13543.25,13495,13498
1620666000,13498,13514.75,13461.75,13472.5,13498,13514.75,13461.75,13472.5
1620669600,13472.75,13476.5,13361.75,13384.75,13472.5,13476.5,13361.75,13384.75
1620673200,13384.25,13414,13352.5,13356.25,13384.75,13414,13352.5,13356.25
1620676800,13355.75,13368,13305.5,13311.5,13356.25,13368,13305.5,13311.5
1620684000,13316.5,13338.5,13307,13335.75,13311.5,13338.5,13307,13335.75
1620687600,13335.75,13338.25,13322.25,13334.25,13335.75,13338.25,13322.25,13334.25
1620691200,13334,13344.5,13170,13227.75,13334.25,13344.5,13170,13227.75
1620694800,13227.5,13229.25,13176.25,13205.75,13227.75,13229.25,13176.25,13205.75
1620698400,13205.25,13225.75,13179.5,13214,13205.75,13225.75,13179.5,13214
1620702000,13213.75,13239.5,13207,13233,13214,13239.5,13207,13233
1620705600,13232.75,13237,13200.25,13215.5,13233,13237,13200.25,13215.5
1620709200,13216.25,13275,13215.5,13265,13215.5,13275,13215.5,13265
1620712800,13265,13276.5,13249,13262.75,13265,13276.5,13249,13262.75
1620716400,13263.75,13270.25,13140,13194.75,13262.75,13270.25,13140,13194.75
1620720000,13194.5,13207,13151,13188.5,13194.75,13207,13151,13188.5
1620723600,13188.25,13211.75,13172.75,13183.25,13188.5,13211.75,13172.75,13183.25
1620727200,13183.75,13194.75,13154.75,13183.25,13183.25,13194.75,13154.75,13183.25
1620730800,13183,13189.25,13117.5,13120.25,13183.25,13189.25,13117.5,13120.25
1620734400,13120,13141,13079.25,13085.25,13120.25,13141,13079.25,13085.25
1620738000,13085.25,13271.75,13065.25,13270.75,13085.25,13271.75,13065.25,13270.75
1620741600,13271,13279,13126,13213.25,13270.75,13279,13126,13213.25
1620745200,13213.25,13326,13165.5,13307.25,13213.25,13326,13165.5,13307.25
1620748800,13307.5,13339.25,13247.75,13274,13307.25,13339.25,13247.75,13274
1620752400,13273.5,13370,13267.5,13335.25,13274,13370,13267.5,13335.25
1620756000,13335.25,13375.75,13298.25,13330.5,13335.25,13375.75,13298.25,13330.5
1620759600,13330,13375,13290.5,13344,13330.5,13375,13290.5,13344
1620763200,13344,13352.5,13310,13317,13344,13352.5,13310,13317
1620770400,13321.25,13335.25,13314.25,13326.75,13317,13335.25,13314.25,13326.75
1620774000,13328,13339.25,13305.5,13337.5,13326.75,13339.25,13305.5,13337.5
1620777600,13338.75,13351.75,13263.75,13276.25,13337.5,13351.75,13263.75,13276.25
1620781200,13276,13313.75,13271,13282.25,13276.25,13313.75,13271,13282.25
1620784800,13282.25,13316.5,13281,13291.25,13282.25,13316.5,13281,13291.25
1620788400,13291.25,13296,13221.5,13234,13291.25,13296,13221.5,13234
1620792000,13233.75,13244.75,13184.75,13242,13234,13244.75,13184.75,13242
1620795600,13241,13286.5,13239.75,13245.5,13242,13286.5,13239.75,13245.5
1620799200,13246.5,13296,13239.75,13285,13245.5,13296,13239.75,13285
1620802800,13284.5,13338,13262,13317,13285,13338,13262,13317
1620806400,13316.25,13331.5,13267.25,13283.5,13317,13331.5,13267.25,13283.5
1620810000,13284.25,13303,13252.5,13276,13283.5,13303,13252.5,13276
1620813600,13275.5,13302.75,13250,13258.75,13276,13302.75,13250,13258.75
1620817200,13259.5,13283.25,13251.25,13274.75,13258.75,13283.25,13251.25,13274.75
